Año,% de Cobertura,No. de viviendas ocupadas,No. de viviendas ocupadas electrificadas,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
2001,26.8%,1643803,440210,"1,203,593",7980482,4.85,0.11%,"2,137,171","5,843,311",0.00%,,,
2002,26.9%,1711338,460008,"1,251,330",8174751,4.78,0.10%,"2,197,375","5,977,376",0.00%,,,
2003,27.0%,1781649,480689,"1,300,960",8373750,4.70,0.10%,"2,259,238","6,114,512",0.00%,,,
2004,27.1%,1853442,502283,"1,351,159",8571089,4.62,0.12%,"2,322,766","6,248,323",0.00%,,,
2005,27.2%,1928127,524643,"1,403,484",8773079,4.55,0.11%,"2,387,153","6,385,926",0.00%,,,
2006,27.3%,2005822,548191,"1,457,631",8979828,4.48,0.12%,"2,454,186","6,525,642",0.00%,,,
2007,27.4%,2086649,572576,"1,514,073",9191451,4.40,0.11%,"2,522,132","6,669,319",0.00%,,,
2008,27.6%,2170731,598254,"1,572,477",9408060,4.33,0.12%,"2,592,864","6,815,196",0.00%,,,
2009,27.7%,2258203,624845,"1,633,358",9629774,4.26,0.11%,"2,664,559","6,965,215",0.00%,,,
2010,27.8%,2349198,652607,"1,696,591",9856713,4.20,0.11%,"2,738,194","7,118,519",0.00%,,,
2011,27.9%,2424482,676188,"1,748,294",10009000,4.13,0.11%,"2,791,510","7,217,490",0.00%,,,
2012,28.0%,2494143,698360,"1,795,783",10131000,4.06,0.11%,"2,836,680","7,294,320",0.00%,0,0,0
2013,28.0%,"2,496,887","699,128","1,797,758","10,142,144",4.06,0.00%,"2,839,800","7,302,344",0.00%,0,0,0
2014,28.0%,"2,496,887","699,128","1,797,758","10,142,144",4.06,0.00%,"2,839,800","7,302,344",0.00%,0,0,0
2015,30.0%,"2,638,195","791,458","1,846,736","10,711,070",4.06,2.00%,"3,213,321","7,497,749",3.19%,"2,638,195","791,458",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,3.19%,"2,638,195","791,458",15
