Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1994,77.74%,"1,728,927","1,344,117","384,810","7,424,563",4.29,1.73%,"5,772,066","1,652,497",0.00%,,,
1995,79.51%,"1,781,170","1,416,242","364,928","7,558,096",4.24,1.77%,"6,009,585","1,548,511",0.00%,,,
1996,81.32%,"1,834,992","1,492,238","342,754","7,694,029",4.19,1.81%,"6,256,879","1,437,150",0.00%,,,
1997,83.17%,"1,890,440","1,572,312","318,128","7,832,408",4.14,1.85%,"6,514,351","1,318,057",0.00%,,,
1998,85.06%,"1,947,563","1,656,682","290,881","7,973,276",4.09,1.89%,"6,782,416","1,190,860",0.00%,,,
1999,87.00%,"2,006,413","1,745,580","260,833","8,116,677",4.05,1.94%,"7,061,512","1,055,165",0.00%,,,
2000,88.98%,"2,067,041","1,839,248","227,793","8,262,657",4.00,1.98%,"7,352,092","910,565",0.00%,,,
2001,91.00%,"2,129,501","1,937,942","191,559","8,411,263",3.95,2.02%,"7,654,629","756,634",0.00%,,,
2002,93.08%,"2,193,848","2,041,932","151,916","8,562,541",3.90,2.08%,"7,969,616","592,925",0.00%,,,
2003,93.66%,"2,239,686","2,097,798","141,888","8,717,580",3.89,0.58%,"8,165,306","552,274",0.00%,,,
2004,93.55%,"2,303,777","2,155,192","148,585","8,875,427",3.85,-0.11%,"8,302,995","572,432",0.00%,,,
2005,93.45%,"2,369,264","2,214,156","155,108","9,036,132",3.81,-0.10%,"8,444,566","591,566",0.00%,,,
2006,93.37%,"2,436,133","2,274,734","161,399","9,199,746",3.78,-0.08%,"8,590,243","609,503",0.00%,,,
2007,93.32%,"2,504,368","2,336,969","167,399","9,366,323",3.74,-0.05%,"8,740,252","626,071",0.00%,,,
2008,93.28%,"2,573,948","2,400,907","173,041","9,535,917",3.70,-0.04%,"8,894,838","641,079",0.00%,,,
2009,93.26%,"2,644,854","2,466,594","178,260","9,708,581",3.67,-0.02%,"9,054,234","654,347",0.00%,,,
2010,94.44%,"2,683,317","2,534,078","149,239","9,884,371",3.68,1.18%,"9,334,628","549,743",0.00%,,,
2011,92.08%,"2,791,852","2,570,737","221,115","10,035,860",3.59,-2.36%,"9,241,019","794,841",0.00%,,,
2012,93.0%,"2,863,162","2,662,741","200,421","10,170,000",3.55,0.92%,"9,458,101","711,899",0.00%,0,0,0
2013,94.0%,"2,889,503","2,716,133","173,370","10,263,564",3.55,1.00%,"9,647,750","615,814",0.00%,0,0,0
2014,96.7%,"2,918,398","2,820,924","97,474","10,366,200",3.55,2.66%,"10,019,969","346,231",0.00%,0,0,0
2015,96.9%,"2,965,744","2,872,916","92,828","10,528,390",3.55,0.21%,"10,198,851","329,539",2.27%,"2,965,744","2,872,916",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.27%,"2,965,744","2,872,916",15
