Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1991,92.37%,"884,320","816,853","67,467","3,067,216",3.47,0.68%,"2,833,210","234,006",0.00%,,,
1992,93.06%,"894,957","832,835","62,122","3,086,287",3.45,0.69%,"2,872,057","214,230",0.00%,,,
1993,93.75%,"905,722","849,129","56,593","3,105,476",3.43,0.69%,"2,911,434","194,042",0.00%,,,
1994,94.45%,"916,616","865,743","50,873","3,124,785",3.41,0.70%,"2,951,357","173,428",0.00%,,,
1995,95.15%,"927,642","882,681","44,961","3,144,214",3.39,0.70%,"2,991,820","152,394",0.00%,,,
1996,95.86%,"938,800","899,951","38,849","3,163,763",3.37,0.71%,"3,032,842","130,921",0.00%,,,
1997,95.59%,"975,869","932,799","43,070","3,173,316",3.25,-0.27%,"3,033,262","140,054",0.00%,,,
1998,95.82%,"1,014,403","972,009","42,394","3,182,899",3.14,0.23%,"3,049,879","133,020",0.00%,,,
1999,96.06%,"1,054,457","1,012,880","41,577","3,192,510",3.03,0.24%,"3,066,630","125,880",0.00%,,,
2000,96.26%,"1,096,093","1,055,085","41,008","3,202,150",2.92,0.20%,"3,082,348","119,802",0.00%,,,
2001,96.39%,"1,139,374","1,098,227","41,147","3,211,819",2.82,0.13%,"3,095,828","115,991",0.00%,,,
2002,96.41%,"1,184,363","1,141,856","42,507","3,221,518",2.72,0.02%,"3,105,897","115,621",0.00%,,,
2003,96.84%,"1,231,129","1,192,267","38,862","3,231,246",2.62,0.43%,"3,129,248","101,998",0.00%,,,
2004,97.18%,"1,279,741","1,243,651","36,090","3,241,003",2.53,0.34%,"3,149,603","91,400",0.00%,,,
2005,97.40%,"1,288,444","1,254,954","33,490","3,249,083",2.52,0.22%,"3,164,631","84,452",0.00%,,,
2006,98.52%,"1,332,163","1,312,412","19,751","3,257,182",2.45,1.12%,"3,208,890","48,292",0.00%,,,
2007,99.40%,"1,379,704","1,371,487","8,217","3,265,302",2.37,0.88%,"3,245,855","19,447",0.00%,,,
2008,99.74%,"1,431,422","1,427,696","3,726","3,273,443",2.29,0.34%,"3,264,922","8,521",0.00%,,,
2009,99.74%,"1,487,702","1,483,826","3,876","3,281,603",2.21,0.00%,"3,273,053","8,550",0.00%,,,
2010,99.75%,"1,548,960","1,545,113","3,847","3,289,784",2.12,0.01%,"3,281,613","8,171",0.00%,,,
2011,99.20%,"1,596,226","1,583,457","12,769","3,384,000",2.12,-0.55%,"3,356,930","27,070",0.00%,,,
2012,99.40%,"1,602,358","1,592,744","9,614","3,397,000",2.12,0.20%,"3,376,618","20,382",0.00%,0,0,0
2013,99.60%,"1,605,563","1,599,140","6,422","3,403,794",2.12,0.20%,"3,390,179","13,615",0.00%,0,0,0
2014,99.70%,"1,608,774","1,603,948","4,826","3,410,602",2.12,0.10%,"3,400,370","10,232",0.00%,0,0,0
2015,99.70%,"1,618,656","1,613,800","4,856","3,431,550",2.12,0.00%,"3,421,255","10,295",2.31%,"1,618,656","1,613,800",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.31%,"1,618,656","1,613,800",15
