Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1995,94.42%,"79,107","74,694","4,413","264,131",3.34,0.37%,"249,396","14,735",0.00%,0,0,0
1996,94.79%,"79,910","75,750","4,160","265,056",3.32,0.37%,"251,258","13,798",0.00%,0,0,0
1997,95.17%,"80,721","76,821","3,900","265,985",3.30,0.38%,"253,134","12,851",0.00%,0,0,0
1998,95.54%,"81,541","77,907","3,634","266,918",3.27,0.37%,"255,022","11,896",0.00%,0,0,0
1999,95.92%,"82,369","79,009","3,360","267,853",3.25,0.38%,"256,927","10,926",0.00%,0,0,0
2000,96.30%,"83,205","80,126","3,079","268,792",3.23,0.38%,"258,845","9,947",0.00%,0,0,0
2001,96.66%,"83,728","80,932","2,796","269,321",3.22,0.36%,"260,327","8,994",0.00%,0,0,0
2002,97.09%,"84,378","81,920","2,458","269,850",3.20,0.43%,"261,989","7,861",0.00%,0,0,0
2003,97.47%,"85,017","82,864","2,153","270,381",3.18,0.38%,"263,534","6,847",0.00%,0,0,0
2004,97.81%,"85,644","83,766","1,878","270,913",3.16,0.34%,"264,972","5,941",0.00%,0,0,0
2005,98.11%,"86,258","84,627","1,631","271,445",3.15,0.30%,"266,312","5,133",0.00%,0,0,0
2006,98.38%,"86,856","85,446","1,410","271,979",3.13,0.27%,"267,564","4,415",0.00%,0,0,0
2007,98.61%,"87,438","86,225","1,213","272,514",3.12,0.23%,"268,733","3,781",0.00%,0,0,0
2008,98.82%,"88,004","86,965","1,039","273,050",3.10,0.21%,"269,826","3,224",0.00%,0,0,0
2009,98.99%,"88,556","87,665",891,"273,587",3.09,0.17%,"270,834","2,753",0.00%,0,0,0
2010,99.14%,"89,097","88,328",769,"274,125",3.08,0.15%,"271,759","2,366",0.00%,0,0,0
2011,99.29%,"89,415","88,781",634,"274,000",3.06,0.15%,"272,057","1,943",0.00%,0,0,0
2012,99.50%,"90,104","89,654",450,"275,000",3.05,0.21%,"273,627","1,373",0.00%,0,0,0
2013,99.50%,"90,293","89,842",451,"275,578",3.05,0.00%,"274,200","1,378",0.00%,0,0,0
2014,99.50%,"90,293","89,842",451,"275,578",3.05,0.00%,"274,200","1,378",0.00%,0,0,0
2015,99.80%,"93,184","92,997",186,"284,210",3.05,0.30%,"283,642",568,0.78%,"93,184","92,997",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,0.78%,"93,184","92,997",15
