Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
1996,93.63%,"9,094,371","8,514,936","579,435","34,389,581",3.78,0.63%,"32,198,497","2,191,084",0.00%,0,0,0
1997,94.18%,"9,214,798","8,678,268","536,530","34,755,807",3.77,0.55%,"32,732,156","2,023,651",0.00%,0,0,0
1998,94.64%,"9,336,818","8,836,788","500,030","35,125,933",3.76,0.46%,"33,244,776","1,881,157",0.00%,0,0,0
1999,95.03%,"9,460,455","8,990,367","470,088","35,500,001",3.75,0.39%,"33,736,013","1,763,988",0.00%,0,0,0
2000,95.27%,"9,585,728","9,132,143","453,585","35,878,053",3.74,0.24%,"34,180,347","1,697,706",0.00%,0,0,0
2001,94.43%,"9,712,661","9,171,622","541,039","36,260,130",3.73,-0.84%,"34,240,277","2,019,853",0.00%,0,0,0
2002,94.60%,"9,879,100","9,345,902","533,198","36,669,682",3.71,0.17%,"34,690,534","1,979,148",0.00%,0,0,0
2003,94.78%,"10,048,392","9,523,495","524,897","37,083,861",3.69,0.18%,"35,146,715","1,937,146",0.00%,0,0,0
2004,94.95%,"10,220,585","9,704,461","516,124","37,502,717",3.67,0.17%,"35,608,887","1,893,830",0.00%,0,0,0
2005,95.12%,"10,395,728","9,888,867","506,861","37,926,304",3.65,0.17%,"36,077,144","1,849,160",0.00%,0,0,0
2006,95.30%,"10,573,873","10,076,776","497,097","38,354,676",3.63,0.18%,"36,551,553","1,803,123",0.00%,0,0,0
2007,95.47%,"10,755,070","10,268,257","486,813","38,787,886",3.61,0.17%,"37,032,207","1,755,679",0.00%,0,0,0
2008,95.65%,"10,939,373","10,463,376","475,997","39,225,989",3.59,0.18%,"37,519,177","1,706,812",0.00%,0,0,0
2009,95.82%,"11,126,834","10,662,202","464,632","39,669,040",3.57,0.17%,"38,012,549","1,656,491",0.00%,0,0,0
2010,96.00%,"11,317,507","10,864,807","452,700","40,117,096",3.54,0.18%,"38,512,413","1,604,683",0.00%,0,0,0
2011,96.18%,"11,553,665","11,112,315","441,350","40,719,000",3.52,0.18%,"39,163,534","1,555,466",0.00%,0,0,0
2012,96.35%,"11,719,714","11,291,945","427,769","41,067,000",3.5,0.17%,"39,568,056","1,498,944",0.00%,0,0,0
2013,95.00%,"11,739,638","11,152,656","586,982","41,136,814",3.5,-1.35%,"39,079,973","2,056,841",0.00%,0,0,0
2014,98.79%,"11,581,152","11,441,020","140,132","40,581,467",3.5,3.79%,"40,090,431","491,036",0.00%,0,0,0
2015,98.79%,"12,404,786","12,254,688","150,098","43,416,750",3.5,0.00%,"42,891,407","525,343",1.78%,"12,404,786","12,254,688",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,1.78%,"12,404,786","12,254,688",15
