Año,% Cob,Viv ocup,Viv ocup c/elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
2005,70.98%,"6,071,942","4,310,008","1,761,934","26,572,575",4.38,1.50%,"18,861,842","7,710,733",0.00%,,,
2006,72.52%,"6,233,877","4,520,718","1,713,159","26,989,101",4.33,1.54%,"19,572,108","7,416,993",0.00%,,,
2007,74.09%,"6,400,131","4,741,730","1,658,401","27,412,157",4.28,1.57%,"20,309,123","7,103,034",0.00%,,,
2008,75.62%,"6,538,822","4,944,427","1,594,395","27,724,604",4.24,1.53%,"20,964,370","6,760,234",0.00%,,,
2009,77.48%,"6,660,478","5,160,584","1,499,894","28,040,612",4.21,1.86%,"21,726,058","6,314,554",0.00%,,,
2010,79.31%,"6,784,742","5,380,899","1,403,843","28,360,222",4.18,1.83%,"22,492,158","5,868,064",0.00%,,,
2011,81.18%,"7,159,202","5,811,840","1,347,362","29,605,000",4.14,1.87%,"24,033,338","5,571,662",0.00%,,,
2012,82%,"7,310,519","5,994,626","1,315,893","29,907,000",4.09,0.82%,"24,523,742","5,383,258",0.00%,0,0,0
2013,90%,"7,370,465","6,655,530","714,935","30,152,237",4.09,8.30%,"27,227,470","2,924,767",0.00%,0,0,0
2014,91.9%,"7,982,214","7,335,655","646,559","32,654,873",4.09,1.60%,"30,009,828","2,645,045",0.00%,0,0,0
2015,93.3%,"7,671,557","7,157,563","513,994","31,376,670",4.09,1.40%,"29,274,433","2,102,237",2.37%,"7,671,557","7,157,563",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.37%,"7,671,557","7,157,563",15
