Año,% Cobertura,Viv ocup,Viv elec,Déficit # Viviendas,Población,Hab/viv,rate of cov,Pob con Acceso,Pob sin Acceso,Tasa Viv 10 Años,,,
2010,87.55%,"896,050","784,492","111,558","3,415,813",3.81,0.64%,"2,990,545","425,268",0.00%,,,
2011,88.19%,"917,338","809,000","108,338","3,528,000",3.85,0.64%,"3,111,342","416,658",0.00%,,,
2012,88.83%,"939,645","834,687","104,958","3,582,000",3.81,0.64%,"3,181,892","400,108",0.00%,0,0,0
2013,91.10%,"945,659","861,495","84,164","3,604,925",3.81,2.27%,"3,284,086","320,838",0.00%,0,0,0
2014,92.50%,"967,125","894,591","72,534","3,686,757",3.81,1.40%,"3,410,250","276,507",0.00%,0,0,0
2015,93.90%,"1,031,270","968,363","62,907","3,929,140",3.81,1.40%,"3,689,462","239,678",2.81%,"1,031,270","968,363",15
2016,,,,,,,,,,0.00%,0,0,0
2017,,,,,,,,,,0.00%,0,0,0
2018,,,,,,,,,,0.00%,0,0,0
2019,,,,,,,,,,0.00%,0,0,0
2020,,,,,,,,,,0.00%,0,0,0
2021,,,,,,,,,,0.00%,0,0,0
2022,,,,,,,,,,0.00%,0,0,0
2023,,,,,,,,,,0.00%,0,0,0
2024,,,,,,,,,,0.00%,0,0,0
2025,,,,,,,,,,0.00%,0,0,0
2026,,,,,,,,,,0.00%,0,0,0
2027,,,,,,,,,,0.00%,0,0,0
2028,,,,,,,,,,0.00%,0,0,0
2029,,,,,,,,,,0.00%,0,0,0
2030,,,,,,,,,,0.00%,0,0,0
,,,,,,,,,,2.81%,"1,031,270","968,363",15
